"Pittsburgh, PA 15219 (Middle Hill area)",UPMC,Sr. Data Scientist - Health Economics,$40.27 - $69.53 an hour,3.7
"Pittsburgh, PA",The University of Pittsburgh,Data Scientist,,4.2
"Cork, PA",PepsiCo,eCommerce Senior Data Scientist,,3.8
"Pittsburgh, PA",International Services Management,Data Scientist,,
"Pittsburgh, PA 15222 (Strip District area)",Bosch Group,Machine Learning Research Scientist,,4.1
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,,
,Leidos,Chief Data Scientist,,3.7
,Areté,"Scientist 2, Data Analytics",,4.0
,IT LINK,Natural language Processing Engineer(NLP)/ Data Scientist (100 %-Remote),"$200,000 - $250,000 a year",
,Insight Global,Data Scientist,$65 - $70 an hour,4.0
"Los Angeles, CA",Beatdapp,Data Scientist (Top 20 Music Company Globally on Crunchbase),,
"Los Angeles, CA",Aspiration Partners,Data Scientist,,
"Santa Monica, CA 90404 (Mid-City area)",Hulu,Data Scientist,,3.9
"Los Angeles, CA",Facebook,"Data Scientist, Product Analytics AR/VR",,4.2
"Irvine, CA 92618",MWIDM Inc.,Data Scientist,$55 - $60 an hour,
"Los Angeles, CA",BIGO Technology Pte. Ltd.,Data Specialist,,
"Calabasas, CA 91302",Anchor Loans LP,Data Scientist,,
"Irvine, CA 92617 (Research Park area)",West Coast University,Data Scientist,,3.7
"Irvine, CA 92617 (Research Park area)",American Career College,Data Scientist,,3.9
"Los Angeles, CA",Opendoor,Staff Data Scientist - Consumer,,3.0
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,,
,Northrop Grumman,Principal Data Scientist,,4.0
,Kelly,"Urgent Need - Associate Data Scientist - Chicago, IL",$45 - $50 an hour,3.8
,PeopleReady,Machine Learning Engineer,,3.6
,Direct Auto Insurance,Product Analyst Intern,,3.0
"Chicago, IL",Cloudbigdata Technologies,Entry level Data Scientist,,
"Chicago, IL 60606 (West Loop Gate area)",Farm Journal,Data Scientist,,3.1
"Chicago, IL 60606 (The Loop area)",Strike Social,Data Scientist (Entry Level),,3.7
"Chicago, IL","Hornblower Cruises and Events, LLC",Data Scientist - Cruises & Events,,3.6
"Chicago, IL",Beatdapp,Data Scientist (Top 20 Music Company Globally on Crunchbase),,
